acceptance_rate,avg_r2c_ratio,long_term_time_r2c_ratio,long_term_avg_time_revenue,success_count,early_rejection_count,place_failure_count,route_failure_count,total_cost,total_revenue,total_time_revenue,total_time_cost,long_term_r2c_ratio,total_simulation_time,long_term_avg_revenue,long_term_avg_cost,long_term_weighted_avg_time_revenue,min_p_net_available_resource,min_p_net_node_available_resource,min_p_net_link_available_resource,max_inservice_count,avg_reward,solver_name,seed,p_net_dataset_dir,v_nets_dataset_dir,run_id,start_run_time,clock_running_time
1.0,0.6703703703703704,0.6703703703703704,12021.013128751609,1,0,0,0,270.0,181.0,168294.18380252252,251046.5725230999,0.6703703703703704,14.0,12.928571428571429,19.285714285714285,24.949584557323035,13139,8765,4374,1,0,nrm_rank,0,dataset/p_net/Geant-cpu_[50-100]-max_cpu_None-gpu_[50-100]-max_gpu_None-ram_[50-100]-max_ram_None-bw_[50-100]-max_bw_None,dataset/v_nets/1-[2-10]-random-500-0.08-cpu_[0-20]-gpu_[0-20]-ram_[0-20]-bw_[0-20],MacBook-Air-cua-Hung.local-20260327T093744,20260327T093744,0.023698806762695312
1.0,0.6703703703703704,0.6703703703703704,12021.013128751609,1,0,0,0,270.0,181.0,168294.18380252252,251046.5725230999,0.6703703703703704,14.0,12.928571428571429,19.285714285714285,24.949584557323035,13139,8765,4374,1,0,nrm_rank,0,dataset/p_net/Geant-cpu_[50-100]-max_cpu_None-gpu_[50-100]-max_gpu_None-ram_[50-100]-max_ram_None-bw_[50-100]-max_bw_None,dataset/v_nets/1-[2-10]-random-500-0.08-cpu_[0-20]-gpu_[0-20]-ram_[0-20]-bw_[0-20],MacBook-Air-cua-Hung.local-20260327T094742,20260327T094742,0.053347110748291016
1.0,0.553856771854688,0.48303643697744847,9097.427272044182,20,0,0,0,2018.666666666667,950.6666666666665,463968.7908742533,960525.4497517641,0.4709379128137383,51.0,18.64052287581699,39.58169934640524,27.737950147861174,10773,7454,3319,17,0,active_largest_resource,0,dataset/p_net/Geant-cpu_[50-100]-max_cpu_None-gpu_[50-100]-max_gpu_None-ram_[50-100]-max_ram_None-bw_[50-100]-max_bw_None,dataset/v_nets/20-[2-4]-random-500-0.08-cpu_[0-20]-gpu_[0-20]-ram_[0-20]-bw_[0-20],MacBook-Air-cua-Hung.local-20260401T133615,20260401T133615,0.5363268852233887
0.36,0.1575849387932245,0.3104594913659261,634.7116069249658,18,0,0,32,2992.3333333333335,1051.3333333333333,223418.48563758796,719638.1230112034,0.35134231926033194,352.0,2.986742424242424,8.50094696969697,3.6214540311673895,11511,8054,3344,11,0,active_largest_resource,0,dataset/p_net/Geant-cpu_[50-100]-max_cpu_None-gpu_[50-100]-max_gpu_None-ram_[50-100]-max_ram_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-5]-random-500-0.08-cpu_[0-20]-gpu_[0-20]-ram_[0-20]-bw_[0-20],MacBook-Air-cua-Hung.local-20260401T134048,20260401T134048,1.222672700881958
