v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_departure_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,node_slots_by_time,link_paths_by_time,node_migrations,active_time_slots,current_time_slot,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_violation,v_net_single_step_violation,v_net_place_violation,v_net_route_violation,v_net_budget,v_net_place_budget,v_net_route_budget,place_result,route_result,early_rejection,revoke_times,selected_actions,num_placed_nodes,num_routed_links
1,1,1,31.333333333333332,85.33333333333333,16002.43288680914,43581.0938193951,0.3671875,0.36718750000000006,2,0,1,8.0,13482,8945,4537,0.007434531735463823,0.013695652173912998,0,510.7159431960364,8.0,518.7159431960364,2,1,True,"{0: np.int64(13), 1: np.int64(32)}","{(0, 1): [(np.int64(13), 12), (12, 15), (15, 9), (9, 25), (25, 24), (24, 34), (34, 32)]}","{(0, np.int64(13)): {'cpu': 17, 'gpu': 14, 'ram': 18}, (1, np.int64(32)): {'cpu': 9, 'gpu': 9, 'ram': 0}}","{((0, 1), (np.int64(13), 12)): {'bw': 9}, ((0, 1), (12, 15)): {'bw': 9}, ((0, 1), (15, 9)): {'bw': 9}, ((0, 1), (9, 25)): {'bw': 9}, ((0, 1), (25, 24)): {'bw': 9}, ((0, 1), (24, 34)): {'bw': 9}, ((0, 1), (34, 32)): {'bw': 9}}",OrderedDict(),OrderedDict(),OrderedDict(),[],,85.33333333333333,31.333333333333332,44.666666666666664,22.333333333333332,9,22.333333333333332,9,22.333333333333332,63,54,0.3671875,43581.0938193951,16002.43288680914,187.5285103922946,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],2.0,1.0
2,2,2,141.0,386.99999999999994,24486.777156375018,66919.48763081493,0.36434108527131787,0.36591399640512795,7,1,1,15.0,13075,8787,4288,0.024966711051930712,0.0678260869565217,1,77.3648413638226,15.0,92.3648413638226,5,4,True,"{0: np.int64(20), 1: np.int64(17), 2: np.int64(18), 3: np.int64(12), 4: np.int64(33)}","{(0, 3): [(np.int64(20), 12)], (1, 2): [(np.int64(17), 30), (30, 0), (0, 34), (34, 7), (7, 8), (8, 9), (9, 18)], (2, 3): [(np.int64(18), 9), (9, 15), (15, 12)], (2, 4): [(np.int64(18), 9), (9, 8), (8, 7), (7, 34), (34, 33)]}","{(0, np.int64(20)): {'cpu': 11, 'gpu': 10, 'ram': 8}, (1, np.int64(17)): {'cpu': 17, 'gpu': 4, 'ram': 14}, (2, np.int64(18)): {'cpu': 9, 'gpu': 20, 'ram': 0}, (3, np.int64(12)): {'cpu': 0, 'gpu': 3, 'ram': 19}, (4, np.int64(33)): {'cpu': 16, 'gpu': 19, 'ram': 8}}","{((0, 3), (np.int64(20), 12)): {'bw': 7}, ((1, 2), (np.int64(17), 30)): {'bw': 13}, ((1, 2), (30, 0)): {'bw': 13}, ((1, 2), (0, 34)): {'bw': 13}, ((1, 2), (34, 7)): {'bw': 13}, ((1, 2), (7, 8)): {'bw': 13}, ((1, 2), (8, 9)): {'bw': 13}, ((1, 2), (9, 18)): {'bw': 13}, ((2, 3), (np.int64(18), 9)): {'bw': 17}, ((2, 3), (9, 15)): {'bw': 17}, ((2, 3), (15, 12)): {'bw': 17}, ((2, 4), (np.int64(18), 9)): {'bw': 20}, ((2, 4), (9, 8)): {'bw': 20}, ((2, 4), (8, 7)): {'bw': 20}, ((2, 4), (7, 34)): {'bw': 20}, ((2, 4), (34, 33)): {'bw': 20}}",OrderedDict(),OrderedDict(),OrderedDict(),[],,301.66666666666663,109.66666666666666,105.33333333333333,52.666666666666664,57,52.666666666666664,57,52.666666666666664,249,192,0.36353591160220994,23338.393811419817,8484.344269565878,28.12489813115761,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],5.0,4.0
3,2,2,141.0,386.99999999999994,24486.777156375018,66919.48763081493,0.36434108527131787,0.36591399640512795,7,2,1,27.0,13075,8787,4288,0.024966711051930712,0.0678260869565217,2,1447.210224845763,27.0,1474.210224845763,3,2,False,"{0: np.int64(32), 1: np.int64(19), 2: np.int64(15)}","{(0, 1): []}","{(0, np.int64(32)): {'cpu': 0, 'gpu': 0, 'ram': 20}, (1, np.int64(19)): {'cpu': 11, 'gpu': 10, 'ram': 18}, (2, np.int64(15)): {'cpu': 4, 'gpu': 14, 'ram': 4}}",{},OrderedDict(),OrderedDict(),OrderedDict(),[],,0.0,0.0,54.0,27.0,22,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Route Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,[],3.0,1.0
4,2,2,141.0,386.99999999999994,24486.777156375018,66919.48763081493,0.36434108527131787,0.36591399640512795,7,3,1,42.0,13075,8787,4288,0.024966711051930712,0.0678260869565217,3,368.9136391555293,42.0,410.9136391555293,2,1,False,"{0: np.int64(32), 1: np.int64(19)}","{(0, 1): []}","{(0, np.int64(32)): {'cpu': 7, 'gpu': 13, 'ram': 0}, (1, np.int64(19)): {'cpu': 8, 'gpu': 5, 'ram': 8}}",{},OrderedDict(),OrderedDict(),OrderedDict(),[],,0.0,0.0,27.333333333333332,13.666666666666666,15,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Route Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,[],2.0,1.0
5,2,2,141.0,386.99999999999994,24486.777156375018,66919.48763081493,0.36434108527131787,0.36591399640512795,7,4,1,52.0,13075,8787,4288,0.024966711051930712,0.0678260869565217,4,267.78285915037816,52.0,319.78285915037816,5,5,False,"{0: np.int64(2), 1: np.int64(32), 2: np.int64(19), 3: np.int64(15), 4: np.int64(25)}","{(0, 4): [(np.int64(2), 0), (0, 34), (34, 24), (24, 25)], (1, 3): [(np.int64(32), 34), (34, 24), (24, 25), (25, 9), (9, 15)], (2, 3): []}","{(0, np.int64(2)): {'cpu': 15, 'gpu': 10, 'ram': 3}, (1, np.int64(32)): {'cpu': 11, 'gpu': 20, 'ram': 9}, (2, np.int64(19)): {'cpu': 4, 'gpu': 14, 'ram': 18}, (3, np.int64(15)): {'cpu': 7, 'gpu': 17, 'ram': 2}, (4, np.int64(25)): {'cpu': 13, 'gpu': 19, 'ram': 19}}","{((0, 4), (np.int64(2), 0)): {'bw': 11}, ((0, 4), (0, 34)): {'bw': 11}, ((0, 4), (34, 24)): {'bw': 11}, ((0, 4), (24, 25)): {'bw': 11}, ((1, 3), (np.int64(32), 34)): {'bw': 18}, ((1, 3), (34, 24)): {'bw': 18}, ((1, 3), (24, 25)): {'bw': 18}, ((1, 3), (25, 9)): {'bw': 18}, ((1, 3), (9, 15)): {'bw': 18}}",OrderedDict(),OrderedDict(),OrderedDict(),[],,0.0,0.0,120.66666666666667,60.333333333333336,49,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Route Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,[],5.0,3.0
6,2,2,141.0,386.99999999999994,24486.777156375018,66919.48763081493,0.36434108527131787,0.36591399640512795,7,5,1,59.0,13075,8787,4288,0.024966711051930712,0.0678260869565217,5,153.6401765452269,59.0,212.6401765452269,5,6,False,"{0: np.int64(2), 1: np.int64(32), 2: np.int64(19), 3: np.int64(15), 4: np.int64(25)}","{(0, 1): [(np.int64(2), 32)], (0, 3): [(np.int64(2), 4), (4, 29), (29, 15)], (0, 4): [(np.int64(2), 4), (4, 8), (8, 25)], (1, 3): [(np.int64(32), 2), (2, 4), (4, 29), (29, 15)], (2, 3): []}","{(0, np.int64(2)): {'cpu': 10, 'gpu': 10, 'ram': 6}, (1, np.int64(32)): {'cpu': 16, 'gpu': 9, 'ram': 7}, (2, np.int64(19)): {'cpu': 16, 'gpu': 12, 'ram': 8}, (3, np.int64(15)): {'cpu': 3, 'gpu': 13, 'ram': 13}, (4, np.int64(25)): {'cpu': 17, 'gpu': 6, 'ram': 7}}","{((0, 1), (np.int64(2), 32)): {'bw': 16}, ((0, 3), (np.int64(2), 4)): {'bw': 15}, ((0, 3), (4, 29)): {'bw': 15}, ((0, 3), (29, 15)): {'bw': 15}, ((0, 4), (np.int64(2), 4)): {'bw': 8}, ((0, 4), (4, 8)): {'bw': 8}, ((0, 4), (8, 25)): {'bw': 8}, ((1, 3), (np.int64(32), 2)): {'bw': 3}, ((1, 3), (2, 4)): {'bw': 3}, ((1, 3), (4, 29)): {'bw': 3}, ((1, 3), (29, 15)): {'bw': 3}}",OrderedDict(),OrderedDict(),OrderedDict(),[],,0.0,0.0,102.0,51.0,65,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Route Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,[],5.0,5.0
7,2,2,141.0,386.99999999999994,24486.777156375018,66919.48763081493,0.36434108527131787,0.36591399640512795,7,6,1,78.0,13075,8787,4288,0.024966711051930712,0.0678260869565217,6,744.1274193633675,78.0,822.1274193633675,5,6,False,"{0: np.int64(2), 1: np.int64(32), 2: np.int64(19), 3: np.int64(15), 4: np.int64(25)}","{(0, 1): [(np.int64(2), 32)], (0, 3): [(np.int64(2), 0), (0, 34), (34, 24), (24, 25), (25, 9), (9, 15)], (0, 4): [(np.int64(2), 0), (0, 34), (34, 24), (24, 25)], (1, 3): [(np.int64(32), 34), (34, 24), (24, 25), (25, 9), (9, 15)], (1, 4): [(np.int64(32), 34), (34, 24), (24, 25)], (2, 3): []}","{(0, np.int64(2)): {'cpu': 7, 'gpu': 13, 'ram': 20}, (1, np.int64(32)): {'cpu': 20, 'gpu': 4, 'ram': 1}, (2, np.int64(19)): {'cpu': 2, 'gpu': 4, 'ram': 5}, (3, np.int64(15)): {'cpu': 16, 'gpu': 12, 'ram': 1}, (4, np.int64(25)): {'cpu': 18, 'gpu': 17, 'ram': 19}}","{((0, 1), (np.int64(2), 32)): {'bw': 19}, ((0, 3), (np.int64(2), 0)): {'bw': 7}, ((0, 3), (0, 34)): {'bw': 7}, ((0, 3), (34, 24)): {'bw': 7}, ((0, 3), (24, 25)): {'bw': 7}, ((0, 3), (25, 9)): {'bw': 7}, ((0, 3), (9, 15)): {'bw': 7}, ((0, 4), (np.int64(2), 0)): {'bw': 9}, ((0, 4), (0, 34)): {'bw': 9}, ((0, 4), (34, 24)): {'bw': 9}, ((0, 4), (24, 25)): {'bw': 9}, ((1, 3), (np.int64(32), 34)): {'bw': 17}, ((1, 3), (34, 24)): {'bw': 17}, ((1, 3), (24, 25)): {'bw': 17}, ((1, 3), (25, 9)): {'bw': 17}, ((1, 3), (9, 15)): {'bw': 17}, ((1, 4), (np.int64(32), 34)): {'bw': 9}, ((1, 4), (34, 24)): {'bw': 9}, ((1, 4), (24, 25)): {'bw': 9}}",OrderedDict(),OrderedDict(),OrderedDict(),[],,0.0,0.0,106.0,53.0,61,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Route Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,[],5.0,6.0
8,2,2,141.0,386.99999999999994,24486.777156375018,66919.48763081493,0.36434108527131787,0.36591399640512795,7,7,1,92.0,13075,8787,4288,0.024966711051930712,0.0678260869565217,7,304.5412081515425,92.0,396.5412081515425,5,4,False,"{0: np.int64(32), 1: np.int64(19), 2: np.int64(15), 3: np.int64(25), 4: np.int64(29)}","{(0, 1): []}","{(0, np.int64(32)): {'cpu': 19, 'gpu': 3, 'ram': 4}, (1, np.int64(19)): {'cpu': 4, 'gpu': 10, 'ram': 16}, (2, np.int64(15)): {'cpu': 17, 'gpu': 1, 'ram': 16}, (3, np.int64(25)): {'cpu': 20, 'gpu': 20, 'ram': 15}, (4, np.int64(29)): {'cpu': 16, 'gpu': 4, 'ram': 10}}",{},OrderedDict(),OrderedDict(),OrderedDict(),[],,0.0,0.0,116.66666666666667,58.333333333333336,52,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Route Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,[],5.0,1.0
8,2,1,141.0,386.99999999999994,24486.777156375018,66919.48763081493,0.36434108527131787,0.36591399640512795,7,8,0,92.3648413638226,13482,8945,4537,0.007434531735463823,0.013695652173912998,1,77.3648413638226,15.0,92.3648413638226,5,4,False,{},{},{},{},OrderedDict(),OrderedDict(),OrderedDict(),[92.3648413638226],92.3648413638226,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,
9,3,2,180.33333333333334,437.33333333333326,41013.359724771384,88067.91108698316,0.4123475609756099,0.4657015162340253,7,9,1,107.0,13359,8836,4523,0.019529516200621377,0.01673913043478259,8,420.16735343380594,107.0,527.1673534338059,3,2,True,"{0: np.int64(20), 1: np.int64(17), 2: np.int64(18)}","{(0, 1): [(np.int64(20), 12), (12, 15), (15, 29), (29, 4), (4, 17)], (0, 2): [(np.int64(20), 12), (12, 15), (15, 9), (9, 18)]}","{(0, np.int64(20)): {'cpu': 6, 'gpu': 3, 'ram': 18}, (1, np.int64(17)): {'cpu': 9, 'gpu': 19, 'ram': 17}, (2, np.int64(18)): {'cpu': 15, 'gpu': 12, 'ram': 10}}","{((0, 1), (np.int64(20), 12)): {'bw': 2}, ((0, 1), (12, 15)): {'bw': 2}, ((0, 1), (15, 29)): {'bw': 2}, ((0, 1), (29, 4)): {'bw': 2}, ((0, 1), (4, 17)): {'bw': 2}, ((0, 2), (np.int64(20), 12)): {'bw': 1}, ((0, 2), (12, 15)): {'bw': 1}, ((0, 2), (15, 9)): {'bw': 1}, ((0, 2), (9, 18)): {'bw': 1}}",OrderedDict(),OrderedDict(),OrderedDict(),[],,50.333333333333336,39.333333333333336,72.66666666666667,36.333333333333336,3,36.333333333333336,3,36.333333333333336,14,11,0.7814569536423841,21148.423456168235,16526.582568396367,328.3427000343649,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],3.0,2.0
